"subject"	"block"	"trial"	"cue"	"cond"	"is_common"	"outcome_go"	"outcome_nogo"	"key_correct"	"key_pressed"	"is_correct"	"outcome"	"rt"	"shocked"	"tdcs"
15	1	1	3	"go_reward"	0	0	1	1	0	0	1	NA	NA	1
15	1	2	4	"nogo_reward"	1	0	1	0	1	0	0	0.25900339987129	NA	1
15	1	3	3	"go_reward"	1	1	0	1	1	1	1	0.370296700159088	NA	1
15	1	4	4	"nogo_reward"	1	0	1	0	1	0	0	0.427141799824312	NA	1
15	1	5	3	"go_reward"	0	0	1	1	1	1	0	0.242447199998423	NA	1
15	1	6	2	"nogo_punish"	1	-1	0	0	1	0	-1	0.59364219987765	1	1
15	1	7	4	"nogo_reward"	0	1	0	0	1	0	1	0.256557499989867	NA	1
15	1	8	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	9	1	"go_punish"	1	0	-1	1	1	1	0	0.288872400065884	NA	1
15	1	10	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	11	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	12	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	13	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	1	1
15	1	14	4	"nogo_reward"	1	0	1	0	1	0	0	0.304108100011945	NA	1
15	1	15	4	"nogo_reward"	1	0	1	0	1	0	0	0.432057499885559	NA	1
15	1	16	3	"go_reward"	0	0	1	1	1	1	0	0.421042100060731	NA	1
15	1	17	4	"nogo_reward"	0	1	0	0	1	0	1	0.408962900051847	NA	1
15	1	18	1	"go_punish"	0	-1	0	1	1	1	-1	0.438138199970126	1	1
15	1	19	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	20	3	"go_reward"	1	1	0	1	1	1	1	0.34692609985359	NA	1
15	1	21	3	"go_reward"	1	1	0	1	1	1	1	0.3282373000402	NA	1
15	1	22	3	"go_reward"	0	0	1	1	1	1	0	0.476355500053614	NA	1
15	1	23	3	"go_reward"	0	0	1	1	1	1	0	0.272002100013197	NA	1
15	1	24	1	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
15	1	25	1	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
15	1	26	3	"go_reward"	1	1	0	1	1	1	1	0.292149000102654	NA	1
15	1	27	1	"go_punish"	1	0	-1	1	1	1	0	0.257300599943847	NA	1
15	1	28	4	"nogo_reward"	1	0	1	0	1	0	0	0.277474700007588	NA	1
15	1	29	3	"go_reward"	0	0	1	1	1	1	0	0.251466599991545	NA	1
15	1	30	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	1	31	3	"go_reward"	1	1	0	1	1	1	1	0.468140499899164	NA	1
15	1	32	1	"go_punish"	1	0	-1	1	1	1	0	0.294352299999446	NA	1
15	1	33	1	"go_punish"	1	0	-1	1	1	1	0	0.39328629989177	NA	1
15	1	34	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	1	35	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	36	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	37	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	1	38	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
15	1	39	1	"go_punish"	1	0	-1	1	1	1	0	0.266905199969187	NA	1
15	1	40	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	1	41	1	"go_punish"	1	0	-1	1	1	1	0	0.28681269986555	NA	1
15	1	42	1	"go_punish"	1	0	-1	1	1	1	0	0.483336500125006	NA	1
15	1	43	3	"go_reward"	1	1	0	1	1	1	1	0.278757399879396	NA	1
15	1	44	3	"go_reward"	0	0	1	1	1	1	0	0.272545199841261	NA	1
15	1	45	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	1	46	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	1	47	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	1	48	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	1	49	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	1	50	1	"go_punish"	1	0	-1	1	1	1	0	0.451247899793088	NA	1
15	1	51	3	"go_reward"	1	1	0	1	1	1	1	0.387430399889126	NA	1
15	1	52	1	"go_punish"	1	0	-1	1	1	1	0	0.406101500149816	NA	1
15	1	53	3	"go_reward"	1	1	0	1	1	1	1	0.256620100000873	NA	1
15	1	54	1	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
15	1	55	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	1	56	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	1	57	1	"go_punish"	1	0	-1	1	1	1	0	0.37881000014022	NA	1
15	1	58	1	"go_punish"	1	0	-1	1	1	1	0	0.304862800054252	NA	1
15	1	59	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
15	1	60	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	61	2	"nogo_punish"	1	-1	0	0	1	0	-1	0.507075000088662	1	1
15	2	62	3	"go_reward"	0	0	1	1	1	1	0	0.288570899982005	NA	1
15	2	63	4	"nogo_reward"	1	0	1	0	1	0	0	0.273863800102845	NA	1
15	2	64	4	"nogo_reward"	1	0	1	0	1	0	0	0.486412500031292	NA	1
15	2	65	3	"go_reward"	0	0	1	1	1	1	0	0.251118599902839	NA	1
15	2	66	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	67	3	"go_reward"	1	1	0	1	1	1	1	0.354727199999615	NA	1
15	2	68	3	"go_reward"	1	1	0	1	1	1	1	0.287113999947905	NA	1
15	2	69	1	"go_punish"	0	-1	0	1	1	1	-1	0.262549699982628	1	1
15	2	70	2	"nogo_punish"	1	-1	0	0	1	0	-1	0.371689599938691	1	1
15	2	71	1	"go_punish"	0	-1	0	1	1	1	-1	0.580950099974871	0	1
15	2	72	3	"go_reward"	1	1	0	1	1	1	1	0.272145800059661	NA	1
15	2	73	3	"go_reward"	1	1	0	1	1	1	1	0.259809599956497	NA	1
15	2	74	1	"go_punish"	1	0	-1	1	1	1	0	0.423847399884835	NA	1
15	2	75	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
15	2	76	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	2	77	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
15	2	78	1	"go_punish"	1	0	-1	1	1	1	0	0.107331600040197	NA	1
15	2	79	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	80	3	"go_reward"	1	1	0	1	1	1	1	0.246718700043857	NA	1
15	2	81	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	82	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	2	83	1	"go_punish"	1	0	-1	1	1	1	0	0.295926699880511	NA	1
15	2	84	3	"go_reward"	0	0	1	1	1	1	0	0.462103799916804	NA	1
15	2	85	1	"go_punish"	1	0	-1	1	1	1	0	0.36125379987061	NA	1
15	2	86	1	"go_punish"	1	0	-1	1	1	1	0	0.322824000148103	NA	1
15	2	87	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	88	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	2	89	3	"go_reward"	0	0	1	1	1	1	0	0.268071400001645	NA	1
15	2	90	1	"go_punish"	0	-1	0	1	1	1	-1	0.302988199982792	0	1
15	2	91	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
