subject	block	trial	cue	cond	is_common	outcome_go	outcome_nogo	key_correct	key_pressed	is_correct	outcome	rt	shocked	tdcs
28	1	1	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	2	4	go_punish	1	0	-1	1	0	0	-1		1.0	2
28	1	3	4	go_punish	1	0	-1	1	1	1	0	0.3460927999112755		2
28	1	4	3	nogo_reward	0	1	0	0	0	1	0			2
28	1	5	1	nogo_punish	0	0	-1	0	0	1	-1		0.0	2
28	1	6	4	go_punish	0	-1	0	1	1	1	-1	0.3647083998657763	0.0	2
28	1	7	1	nogo_punish	1	-1	0	0	1	0	-1	0.6600638998206705	0.0	2
28	1	8	2	go_reward	1	1	0	1	0	0	0			2
28	1	9	3	nogo_reward	0	1	0	0	0	1	0			2
28	1	10	4	go_punish	1	0	-1	1	1	1	0	0.3739575000945479		2
28	1	11	4	go_punish	1	0	-1	1	0	0	-1		0.0	2
28	1	12	2	go_reward	1	1	0	1	0	0	0			2
28	1	13	1	nogo_punish	1	-1	0	0	1	0	-1	0.2441606000065803	1.0	2
28	1	14	2	go_reward	1	1	0	1	0	0	0			2
28	1	15	3	nogo_reward	0	1	0	0	0	1	0			2
28	1	16	4	go_punish	1	0	-1	1	1	1	0	0.4129860999528319		2
28	1	17	2	go_reward	1	1	0	1	1	1	1	0.5004018999170512		2
28	1	18	4	go_punish	1	0	-1	1	1	1	0	0.2757029000204056		2
28	1	19	2	go_reward	0	0	1	1	1	1	0	0.7773274998180568		2
28	1	20	2	go_reward	1	1	0	1	1	1	1	0.6170455000828952		2
28	1	21	4	go_punish	1	0	-1	1	1	1	0	0.7801763999741524		2
28	1	22	1	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
28	1	23	2	go_reward	1	1	0	1	1	1	1	0.2495771001558751		2
28	1	24	1	nogo_punish	0	0	-1	0	1	0	0	0.4852651001419872		2
28	1	25	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	26	2	go_reward	1	1	0	1	1	1	1	0.123797999927774		2
28	1	27	1	nogo_punish	1	-1	0	0	1	0	-1	0.1237899998668581	1.0	2
28	1	28	1	nogo_punish	0	0	-1	0	1	0	0	0.5135023000184447		2
28	1	29	1	nogo_punish	0	0	-1	0	1	0	0	0.2848156997933984		2
28	1	30	1	nogo_punish	1	-1	0	0	1	0	-1	0.3124080998823047	0.0	2
28	1	31	2	go_reward	0	0	1	1	1	1	0	0.5721884998492897		2
28	1	32	2	go_reward	1	1	0	1	1	1	1	0.1423776999581605		2
28	1	33	1	nogo_punish	0	0	-1	0	1	0	0	0.8129926000256091		2
28	1	34	4	go_punish	0	-1	0	1	1	1	-1	0.3598031001165509	0.0	2
28	1	35	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	36	3	nogo_reward	0	1	0	0	0	1	0			2
28	1	37	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	38	2	go_reward	1	1	0	1	1	1	1	0.2403547000139952		2
28	1	39	1	nogo_punish	1	-1	0	0	1	0	-1	0.183564499951899	1.0	2
28	1	40	4	go_punish	0	-1	0	1	1	1	-1	0.3556665000505745	1.0	2
28	1	41	3	nogo_reward	0	1	0	0	0	1	0			2
28	1	42	1	nogo_punish	1	-1	0	0	0	1	0			2
28	1	43	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	44	2	go_reward	1	1	0	1	1	1	1	0.4017121999058873		2
28	1	45	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	46	2	go_reward	1	1	0	1	1	1	1	0.0685707000084221		2
28	1	47	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	48	2	go_reward	0	0	1	1	1	1	0	0.0941854999400675		2
28	1	49	4	go_punish	1	0	-1	1	1	1	0	0.6524424999952316		2
28	1	50	2	go_reward	1	1	0	1	1	1	1	0.067770899971947		2
28	1	51	4	go_punish	1	0	-1	1	1	1	0	0.2155099001247436		2
28	1	52	4	go_punish	1	0	-1	1	1	1	0	0.1084131000097841		2
28	1	53	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	54	3	nogo_reward	1	0	1	0	0	1	1			2
28	1	55	1	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
28	1	56	1	nogo_punish	1	-1	0	0	1	0	-1	0.4326263000257313	0.0	2
28	1	57	1	nogo_punish	1	-1	0	0	0	1	0			2
28	1	58	4	go_punish	1	0	-1	1	1	1	0	0.2443177001550793		2
28	1	59	4	go_punish	1	0	-1	1	1	1	0	0.0579975000582635		2
28	1	60	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	61	3	nogo_reward	0	1	0	0	0	1	0			2
28	2	62	2	go_reward	1	1	0	1	0	0	0			2
28	2	63	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	64	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	65	4	go_punish	0	-1	0	1	0	0	0			2
28	2	66	2	go_reward	1	1	0	1	0	0	0			2
28	2	67	2	go_reward	1	1	0	1	0	0	0			2
28	2	68	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	69	2	go_reward	1	1	0	1	0	0	0			2
28	2	70	2	go_reward	1	1	0	1	0	0	0			2
28	2	71	4	go_punish	0	-1	0	1	0	0	0			2
28	2	72	4	go_punish	0	-1	0	1	0	0	0			2
28	2	73	2	go_reward	1	1	0	1	0	0	0			2
28	2	74	3	nogo_reward	0	1	0	0	0	1	0			2
28	2	75	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	76	2	go_reward	0	0	1	1	0	0	1			2
28	2	77	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	78	4	go_punish	0	-1	0	1	0	0	0			2
28	2	79	1	nogo_punish	0	0	-1	0	0	1	-1		1.0	2
28	2	80	3	nogo_reward	0	1	0	0	0	1	0			2
28	2	81	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	82	2	go_reward	1	1	0	1	0	0	0			2
28	2	83	3	nogo_reward	1	0	1	0	0	1	1			2
28	2	84	4	go_punish	1	0	-1	1	0	0	-1		0.0	2
28	2	85	4	go_punish	1	0	-1	1	0	0	-1		0.0	2
28	2	86	4	go_punish	1	0	-1	1	0	0	-1		1.0	2
28	2	87	2	go_reward	1	1	0	1	0	0	0			2
28	2	88	1	nogo_punish	1	-1	0	0	0	1	0			2
28	2	89	4	go_punish	1	0	-1	1	0	0	-1		0.0	2
28	2	90	3	nogo_reward	0	1	0	0	0	1	0			2
28	2	91	1	nogo_punish	1	-1	0	0	0	1	0			2
